Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class
client_test_0,Pooled Training,0.9731149,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_1,Pooled Training,0.9733479,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_2,Pooled Training,0.9714969,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
Pooled Test,Pooled Training,0.97297436,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_0,Local 0,0.95121896,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_1,Local 0,0.8879882,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_2,Local 0,0.94454277,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
Pooled Test,Local 0,0.93018836,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_0,Local 1,0.89748615,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_1,Local 1,0.910723,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_2,Local 1,0.86629194,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
Pooled Test,Local 1,0.8975623,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_0,Local 2,0.80381835,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_1,Local 2,0.79461026,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_2,Local 2,0.80683005,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
Pooled Test,Local 2,0.8012845,,0.001,,,,,<class 'torch.optim.adamw.AdamW'>
client_test_0,FedAvg1,0.821634829044342,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAvg1,0.8180580139160156,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAvg1,0.8204500675201416,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAvg1,0.8203380107879639,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedProx1,0.8230061531066895,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedProx1,0.8196378946304321,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedProx1,0.8218603134155273,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedProx1,0.8217809796333313,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdagrad1,0.9531223177909852,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad1,0.9330445528030396,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad1,0.945294976234436,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad1,0.9456868171691896,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdam1,0.4361185133457184,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam1,0.4355067610740661,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam1,0.436273843050003,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam1,0.4359441995620727,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi1,0.4361185133457184,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi1,0.4355067610740661,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi1,0.436275452375412,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi1,0.4359444379806518,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic1,0.4509563744068146,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Cyclic1,0.4396283328533172,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Cyclic1,0.4553326666355133,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Cyclic1,0.4479283690452575,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,Scaffold1,0.8226718902587891,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Scaffold1,0.8196941018104553,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Scaffold1,0.8217417001724243,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Scaffold1,0.8215996623039246,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAvg5,0.8220207691192627,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAvg5,0.8203218579292297,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAvg5,0.8196853995323181,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAvg5,0.8211694955825806,,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedProx5,0.8227945566177368,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedProx5,0.8214771747589111,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedProx5,0.8206032514572144,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedProx5,0.8220840096473694,0.1,0.01,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdagrad5,0.8550959825515747,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad5,0.9012167453765868,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad5,0.8230625987052917,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad5,0.8655370473861694,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
