SeriesInstanceUID,Manufacturer,Split
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.774060103415303828812229821954,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.416701701108520592702405866796,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.328789598898469177563438457842,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.174907798609768549012640380786,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.747803439040091794717626507402,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.153536305742006952753134773630,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.882070241245008756731854510592,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.330425234131526435132846006585,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.315214756157389122376518747372,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.188265424231150847356515802868,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.296863826932699509516219450076,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.206028343897359374907954580114,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.183843376225716802567192412456,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.986011151772797848993829243183,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.124663713663969377020085460568,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.803808126682275425758092691689,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.513023675145166449943177283490,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.338447145504282422142824032832,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.161002239822118346732951898613,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.177685820605315926524514718990,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.117383608379722740629083782428,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.332829333783605240302521201463,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.272961322147784625028175033640,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.280125803152924778388346920341,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.503980049263254396021509831276,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.910435939545691201820711078950,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.122914038048856168343065566972,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.338114620394879648539943280992,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.239358021703233250639913775427,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.183982839679953938397312236359,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.779493719385047675154892222907,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.126631670596873065041988320084,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.174449669706458092793093760291,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.214252223927572015414741039150,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.161067514225109999586362698069,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.252634638822000832774167856951,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.323408652979949774528873200770,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.463214953282361219537913355115,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.287966244644280690737019247886,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.210426531621179400035178209430,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.272190966764020277652079081128,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.487268565754493433372433148666,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.163217526257871051722166468085,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.228511122591230092662900221600,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.187108608022306504546286626125,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.178391668569567816549737454720,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.290410217650314119074833254861,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.279300249795483097365868125932,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.339546614783708685476232944897,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.177086402277715068525592995222,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.479402560265137632920333093071,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.669435869708883155232318480131,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.613212850444255764524630781782,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.172243743899615313644757844726,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.652347820272212119124022644822,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.204287915902811325371247860532,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.156990013635454707781600846659,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.145580766024236783540879444879,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.194632613233275988184244485809,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.113679818447732724990336702075,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.146987333806092287055399155268,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.733642690503782454656013446707,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.286217539434358186648717203667,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.227707494413800460340110762069,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839,2,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.137773550852881583165286615668,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.461155505515403114280165935891,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.931383239747372227838946053237,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.622243923620914676263059698181,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.234400932423244218697302970157,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.130794651720796841292503408531,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.745109871503276594185453478952,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.251215764736737018371915284679,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.276710697414087561012670296643,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.311102747717834916358933873912,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.257383535269991165447822992959,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.225515255547637437801620523312,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.103115201714075993579787468219,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.316393351033132458296975008261,0,test
