TSS Code,Source Site,Country,State,Region
BH,University of Pittsburgh,USA,PA,Northeast
B0,University of Pittsburgh,USA,PA,Northeast
AZ,University of Pittsburgh,USA,PA,Northeast
A2,Walter Reed,USA,WA,West
E2,Roswell Park,USA,NY,Northeast
G6,Roswell Park,USA,NY,Northeast
G4,Roswell Park,USA,NY,Northeast
A8,Indivumed,Germany,Other,Europe
AA,Indivumed,Germany,Other,Europe
D8,Greater Poland Cancer Center,Poland,Other,Europe
D5,Greater Poland Cancer Center,Poland,Other,Europe
AR,Mayo,USA,MN,Midwest
E9,Asterand,USA,MI,Midwest
F6,Asterand,USA,MI,Midwest
F4,Asterand,USA,MI,Midwest
B6,Duke,USA,NC,South
E1,Duke,USA,NC,South
C8,ILSBio,Canada,Other,Canada
CA,ILSBio,Canada,Other,Canada
AC,International Genomics Consortium,USA,AZ,West
A3,International Genomics Consortium,USA,AZ,West
FN,International Genomics Consortium,USA,AZ,West
AD,International Genomics Consortium,USA,AZ,West
AO,MSKCC,USA,NY,Northeast
BP,MSKCC,USA,NY,Northeast
HW,MSKCC,USA,NY,Northeast
CM,MSKCC,USA,NY,Northeast
EW,University of Miami,USA,FL,South
MW,University of Miami,USA,FL,South
A7,Christiana Healthcare,USA,DE,South
B2,Christiana Healthcare,USA,DE,South
IK,Christiana Healthcare,USA,DE,South
A6,Christiana Healthcare,USA,DE,South
AN,Cureline,USA,CA,West
B4,Cureline,USA,CA,West
P5,Cureline,USA,CA,West
AM,Cureline,USA,CA,West
OL,University of Chicago,USA,IL,Midwest
QL,University of Chicago,USA,IL,Midwest
GM,MD Anderson,USA,TX,South
R8,MD Anderson,USA,TX,South
LL,Candler,USA,GA,South
NH,Candler,USA,GA,South
A1,UCSF,USA,CA,West
S3,Albert Einstein Medical Center,USA,PA,Northeast
3L,Albert Einstein Medical Center,USA,PA,Northeast
AQ,UNC,USA,NC,South
B8,UNC,USA,NC,South
EZ,UNC,USA,NC,South
AY,UNC,USA,NC,South
LD,Hartford Hospital,USA,CT,Northeast
3C,Columbia University,USA,NY,Northeast
PL,Institute of Human Virology Nigeria,Nigeria,Other,Other
PE,Fox Chase,USA,PA,Northeast
AK,Fox Chase,USA,PA,Northeast
JL,ABS - Research Metrics Pakistan,Pakistan,Other,Other
WT,University of Kansas,USA,KS,Midwest
W9,University of Kansas,USA,KS,Midwest
WS,University of Kansas,USA,KS,Midwest
XX,Spectrum Health,USA,MI,Midwest
Z7,John Wayne Cancer Center,USA,CA,West
VV,John Wayne Cancer Center,USA,CA,West
HN,Ontario Institute for Cancer Research (OICR),Canada,Other,Canada
5L,University of Sao Paulo,Brazil,Other,Other
TQ,University of Sao Paulo,Brazil,Other,Other
5M,University of Sao Paulo,Brazil,Other,Other
GI,ABS - IUPUI,USA,IN,Midwest
GK,ABS - IUPUI,USA,IN,Midwest
OK,Mount Sinai School of Medicine,USA,NY,Northeast
W8,Greenville Health System,USA,SC,South
WH,Greenville Health System,USA,SC,South
5T,Holy Cross,USA,FL,South
4H,"Proteogenex, Inc.",USA,CA,West
UL,Boston Medical Center,USA,MA,Northeast
LQ,Gundersen Lutheran Health System,USA,WI,Midwest
UU,Mary Bird Perkins Cancer Center - Our Lady of the Lake,USA,LA,South
3Z,Mary Bird Perkins Cancer Center - Our Lady of the Lake,USA,LA,South
4N,Mary Bird Perkins Cancer Center - Our Lady of the Lake,USA,LA,South
V7,Medical College of Georgia,USA,GA,South
SS,Medical College of Georgia,USA,GA,South
MS,University of Minnesota,USA,MN,Midwest
CJ,MD Anderson Cancer Center,USA,TX,South
CZ,Harvard,USA,MA,Northeast
CK,Harvard,USA,MA,Northeast
CW,Mayo Clinic - Rochester,USA,MN,Midwest
DB,Mayo Clinic - Rochester,USA,MN,Midwest
DV,NCI Urologic Oncology Branch,USA,MD,South
EU,CHI-Penrose Colorado,USA,CO,West
MM,BLN - Baylor,USA,TX,South
QG,BLN - Baylor,USA,TX,South
AS,St. Joseph's Medical Center-(MD),USA,MD,South
AU,St. Joseph's Medical Center-(MD),USA,MD,South
T7,Molecular Response,USA,CA,West
T9,Molecular Response,USA,CA,West
6D,University of Oklahoma HSC,USA,OK,South
HT,Case Western - St Joes,USA,OH,Midwest
DU,Henry Ford Hospital,USA,MI,Midwest
S9,Dept of Neurosurgery at University of Heidelberg,Germany,Other,Europe
FG,Case Western,USA,OH,Midwest
QH,Fondazione-Besta,Italy,Other,Europe
TM,The University of New South Wales,Australia,Other,Other
CS,Thomas Jefferson University,USA,PA,Northeast
DH,University of Florida,USA,FL,South
VM,Huntsman Cancer Institute,USA,UT,West
WY,Johns Hopkins,USA,MD,South
RY,University of California San Francisco,USA,CA,West
VW,Northwestern University,USA,IL,Midwest
RU,Northwestern University,USA,IL,Midwest
KT,Hartford,USA,CT,Northeast
DM,University Of Michigan,USA,MI,Midwest
4T,Duke University,USA,NC,South
