Test,Method,Metric,learning_rate,optimizer_class,mu,tau,server_learning_rate,beta1,beta2,deterministic_cycle
client_test_0,Pooled Training,0.7980769230769231,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_1,Pooled Training,0.7865168539325843,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_2,Pooled Training,0.8125,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_3,Pooled Training,0.8222222222222222,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
Pooled Test,Pooled Training,0.7992125984251969,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_0,Local 0,0.75,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_1,Local 0,0.8089887640449438,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_2,Local 0,0.6875,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_3,Local 0,0.6666666666666666,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
Pooled Test,Local 0,0.7519685039370079,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_0,Local 1,0.7403846153846154,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_1,Local 1,0.7303370786516854,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_2,Local 1,0.0625,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_3,Local 1,0.5111111111111111,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
Pooled Test,Local 1,0.6535433070866141,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_0,Local 2,0.49038461538461536,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_1,Local 2,0.5168539325842697,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_2,Local 2,0.9375,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_3,Local 2,0.4222222222222222,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
Pooled Test,Local 2,0.515748031496063,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_0,Local 3,0.5,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_1,Local 3,0.3595505617977528,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_2,Local 3,0.9375,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_3,Local 3,0.6888888888888889,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
Pooled Test,Local 3,0.5118110236220472,0.001,<class 'torch.optim.adam.Adam'>,,,,,,
client_test_0,FedAvg100,0.47115384615384615,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_1,FedAvg100,0.3707865168539326,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_2,FedAvg100,0.375,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_3,FedAvg100,0.6444444444444445,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
Pooled Test,FedAvg100,0.46062992125984253,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_0,FedProx100,0.46153846153846156,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_1,FedProx100,0.3707865168539326,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_2,FedProx100,0.9375,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_3,FedProx100,0.7777777777777778,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
Pooled Test,FedProx100,0.515748031496063,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_0,FedAdagrad100,0.5769230769230769,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_1,FedAdagrad100,0.47191011235955055,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_2,FedAdagrad100,0.0625,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_3,FedAdagrad100,0.6,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
Pooled Test,FedAdagrad100,0.5118110236220472,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_0,FedAdam100,0.5384615384615384,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_1,FedAdam100,0.6404494382022472,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_2,FedAdam100,0.0625,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_3,FedAdam100,0.26666666666666666,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
Pooled Test,FedAdam100,0.49606299212598426,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_0,FedYogi100,0.6442307692307693,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_1,FedYogi100,0.6853932584269663,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_2,FedYogi100,0.5,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_3,FedYogi100,0.4444444444444444,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
Pooled Test,FedYogi100,0.6141732283464567,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_0,Cyclic100,0.4230769230769231,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_1,Cyclic100,0.47191011235955055,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_2,Cyclic100,0.9375,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_3,Cyclic100,0.5333333333333333,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
Pooled Test,Cyclic100,0.4921259842519685,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_0,Scaffold100,0.5769230769230769,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_1,Scaffold100,0.4157303370786517,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_2,Scaffold100,0.8125,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_3,Scaffold100,0.7333333333333333,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
Pooled Test,Scaffold100,0.562992125984252,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_0,FedAvg500,0.6346153846153846,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
