Test,Method,Metric,optimizer_class,learning_rate,mu,tau,server_learning_rate,beta1,beta2
client_test_0,Pooled Training,0.7136706210055035,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_1,Pooled Training,0.8313016727552395,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_2,Pooled Training,0.668617415477969,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_3,Pooled Training,0.6607787345811681,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_4,Pooled Training,0.7135642135642136,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_5,Pooled Training,0.7586336336336337,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
Pooled Test,Pooled Training,0.7308259889805206,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_0,Local 0,0.7595183157303192,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_1,Local 0,0.5151648187314406,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_2,Local 0,0.6210922433086713,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_3,Local 0,0.3820381311872846,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_4,Local 0,0.3819830962688106,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_5,Local 0,0.6413288288288288,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
Pooled Test,Local 0,0.6495033779376507,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_0,Local 1,0.24320620087715317,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_1,Local 1,0.739357815804653,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_2,Local 1,0.44358836398877555,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_3,Local 1,0.22560296846011132,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_4,Local 1,0.35961657390228813,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
client_test_5,Local 1,0.41685435435435436,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
Pooled Test,Local 1,0.3158706636388649,<class 'torch.optim.adam.Adam'>,0.0005,,,,,
