Test,Method,Metric,deterministic_cycle,learning_rate,optimizer_class,server_learning_rate,mu
client_test_0,Pooled Training,0.7544818540371254,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Pooled Training,0.7673908863680061,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Pooled Training,0.8086714375402503,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Pooled Training,0.6531097890452948,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Pooled Training,0.671201814058957,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_5,Pooled Training,0.6955705705705706,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Pooled Training,0.7495814916191821,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Local 0,0.7526288728739774,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Local 0,0.5537343245956974,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Local 0,0.687792756437756,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Local 0,0.3984572235954862,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Local 0,0.4482580911152339,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_5,Local 0,0.7424924924924925,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Local 0,0.663370612160694,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Local 1,0.23838112088823793,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Local 1,0.7396269948086907,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Local 1,0.41075339005277556,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Local 1,0.20717377860235,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Local 1,0.40373118944547515,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_5,Local 1,0.24549549549549549,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Local 1,0.30351299398442877,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Local 2,0.3354678525733561,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Local 2,0.6978989083295948,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Local 2,0.7129661332185575,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Local 2,0.447131192072909,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Local 2,0.45310245310245306,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_5,Local 2,0.7492492492492493,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Local 2,0.4390739652290814,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Local 3,0.27641969309108033,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Local 3,0.3509955350466791,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Local 3,0.3358180064862047,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Local 3,0.6711368157637195,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Local 3,0.40022675736961455,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_5,Local 3,0.362987987987988,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Local 3,0.3411431823730483,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Local 4,0.1800352540322574,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Local 4,0.3546241107479331,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Local 4,0.21705015865857,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Local 4,0.2050092764378479,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Local 4,0.6181199752628324,,0.0005,<class 'torch.optim.adam.Adam'>,,
