Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class
client_test_0,Pooled Training,0.7884615384615384,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Pooled Training,0.8202247191011236,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Pooled Training,0.8125,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Pooled Training,0.8444444444444444,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Pooled Training,0.8110236220472441,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 0,0.7307692307692307,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 0,0.8202247191011236,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 0,0.5625,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 0,0.7777777777777778,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 0,0.7598425196850394,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 1,0.7788461538461539,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 1,0.797752808988764,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 1,0.1875,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 1,0.6222222222222222,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 1,0.7204724409448819,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 2,0.5384615384615384,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 2,0.6292134831460674,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 2,0.9375,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 2,0.4222222222222222,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 2,0.5748031496062992,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 3,0.4519230769230769,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 3,0.3258426966292135,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 3,0.6875,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 3,0.6,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 3,0.44881889763779526,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Ensemble,0.7403846153846154,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Ensemble,0.7303370786516854,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Ensemble,0.6875,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Ensemble,0.6888888888888889,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Ensemble,0.7244094488188977,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedAvg100,0.6730769230769231,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,FedAvg100,0.7415730337078652,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,FedAvg100,0.625,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,FedAvg100,0.7777777777777778,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,FedAvg100,0.7125984251968503,,0.001,,,,,<class 'torch.optim.adam.Adam'>
